Date,INTC,NVDA,AMD,QCOM,TXN,MU,AVGO,AMAT,ASML,TSM
2021-05-04,51.75127029418945,14.316741943359375,78.61000061035156,121.61804962158203,158.52516174316406,82.391845703125,40.380863189697266,123.74412536621094,604.06982421875,106.76712799072266
2021-05-05,51.70579147338867,14.423734664916992,77.83000183105469,122.09864807128906,160.84510803222656,83.11415100097656,40.31637191772461,125.25342559814453,616.439208984375,106.78562927246094
2021-05-06,52.33539962768555,14.488077163696289,77.88999938964844,123.32282257080078,163.1650390625,82.77252960205078,40.74785232543945,126.63775634765625,618.8018188476562,108.28496551513672
2021-05-07,52.77465057373047,14.776632308959961,78.80999755859375,125.0003662109375,166.2552947998047,83.92430114746094,41.11119842529297,127.81058502197266,632.4677734375,108.12762451171875
2021-05-10,51.218955993652344,14.231447219848633,75.98999786376953,116.9209213256836,161.19924926757812,78.91697692871094,39.614200592041016,119.86991882324219,602.39892578125,103.9443130493164
2021-05-11,50.36790084838867,14.2718505859375,76.83000183105469,116.40401458740234,162.21749877929688,78.75102996826172,39.974822998046875,118.77400207519531,605.6638793945312,104.44408416748047
2021-05-12,49.06843185424805,13.725417137145996,74.63999938964844,113.00358581542969,156.3734588623047,74.96378326416016,38.36790466308594,110.43912506103516,578.024658203125,100.14971160888672
2021-05-13,49.425323486328125,13.632390022277832,73.08999633789062,115.2614974975586,158.48974609375,75.34446716308594,39.11458969116211,115.28428649902344,598.39404296875,100.6495132446289
2021-05-14,50.651580810546875,14.20875072479248,74.58999633789062,118.01811218261719,162.279541015625,77.79444885253906,40.11562728881836,120.00450897216797,622.0863037109375,104.08313751220703
2021-05-17,50.633277893066406,14.131438255310059,74.6500015258789,117.70073699951172,160.11898803710938,78.46795654296875,39.9630126953125,118.793212890625,610.1680297851562,101.62129211425781
2021-05-18,50.18487548828125,13.982048988342285,74.44000244140625,116.8936996459961,158.38345336914062,76.99404907226562,39.39982604980469,117.10125732421875,607.1332397460938,102.58380126953125
2021-05-19,50.660736083984375,14.031926155090332,76.2300033569336,118.4805679321289,160.90708923339844,78.01895904541016,40.12470245361328,119.97565460205078,605.779296875,104.0276107788086
2021-05-20,51.20064926147461,14.577362060546875,78.05999755859375,120.2760009765625,164.0770721435547,79.19025421142578,41.331031799316406,125.27265930175781,623.0563354492188,104.84204864501953
2021-05-21,51.319618225097656,14.955702781677246,77.16999816894531,119.20600128173828,163.8202667236328,78.79008483886719,40.989479064941406,123.68643188476562,613.8846435546875,103.5185775756836
2021-05-24,52.124916076660156,15.57446002960205,77.44000244140625,120.52085876464844,167.07879638671875,80.91793060302734,41.71163558959961,129.3776092529297,632.832763671875,105.16598510742188
2021-05-25,52.04255676269531,15.610123634338379,77.86000061035156,121.28251647949219,167.08761596679688,79.28787994384766,41.7434196472168,132.1847381591797,645.6438598632812,105.76757049560547
2021-05-26,52.088314056396484,15.662246704101562,78.33999633789062,120.68408203125,166.78659057617188,80.27371215820312,41.82972717285156,131.83802795410156,639.3823852539062,107.35944366455078
2021-05-27,52.829551696777344,15.450758934020996,78.41999816894531,121.18279266357422,167.46841430664062,81.9233169555664,42.482852935791016,132.7239990234375,638.7293090820312,107.14657592773438
2021-05-28,52.27132797241211,16.205446243286133,80.08000183105469,121.99888610839844,168.07936096191406,82.12830352783203,42.90523910522461,133.02255249023438,648.697998046875,108.61814880371094
